County,Highway Type,Total,Fatality,Injury
PLACER,One-Way City Street,0,0,0
PLACER,TOTAL,10,1,9
PLUMAS,Conventional,0,0,0
PLUMAS,Expressway,0,0,0
PLUMAS,Freeway,0,0,0
PLUMAS,One-Way City Street,0,0,0
PLUMAS,TOTAL,0,0,0
RIVERSIDE,Conventional,2,0,2
RIVERSIDE,Expressway,0,0,0
RIVERSIDE,Freeway,3,0,3
RIVERSIDE,One-Way City Street,0,0,0
RIVERSIDE,TOTAL,5,0,5
SACRAMENTO,Conventional,0,0,0
SACRAMENTO,Expressway,0,0,0
SACRAMENTO,Freeway,9,1,8
SACRAMENTO,One-Way City Street,0,0,0
SACRAMENTO,TOTAL,9,1,8
SAN BENITO,Conventional,0,0,0
SAN BENITO,Expressway,1,0,1
SAN BENITO,Freeway,0,0,0
SAN BENITO,One-Way City Street,0,0,0
SAN BENITO,TOTAL,1,0,1
SAN BERNARDINO,Conventional,12,1,11
SAN BERNARDINO,Expressway,1,0,1
SAN BERNARDINO,Freeway,14,2,12
SAN BERNARDINO,One-Way City Street,0,0,0
SAN BERNARDINO,TOTAL,27,3,24
SAN DIEGO,Conventional,9,0,9
SAN DIEGO,Expressway,3,0,3
SAN DIEGO,Freeway,24,0,24
SAN DIEGO,One-Way City Street,1,0,1
SAN DIEGO,TOTAL,37,0,37
SAN FRANCISCO,Conventional,0,0,0
SAN FRANCISCO,Expressway,0,0,0
SAN FRANCISCO,Freeway,2,1,1
SAN FRANCISCO,One-Way City Street,0,0,0
SAN FRANCISCO,TOTAL,2,1,1
SAN JOAQUIN,Conventional,2,1,1
SAN JOAQUIN,Expressway,0,0,0
SAN JOAQUIN,Freeway,3,2,1
SAN JOAQUIN,One-Way City Street,0,0,0
SAN JOAQUIN,TOTAL,5,3,2
SAN LUIS OBISPO,Conventional,1,0,1
SAN LUIS OBISPO,Expressway,0,0,0
SAN LUIS OBISPO,Freeway,1,0,1
SAN LUIS OBISPO,One-Way City Street,0,0,0
SAN LUIS OBISPO,TOTAL,2,0,2
SAN MATEO,Conventional,29,1,28
