OBJECTID,route_id,direction_id,time_period,speed_mph,district_name,org_id,agency,base64_url,route_name,Shape_Length
18,DB,0,offpeak,19.19187014,04 - Oakland,recn8zTmGbYZv1qxV,Dumbarton Bridge Regional Operations Consortium,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1ERQ==,Dumbarton Exp. - Palo Alto,0.269864944038615
19,DB,0,peak,19.12415869,04 - Oakland,recn8zTmGbYZv1qxV,Dumbarton Bridge Regional Operations Consortium,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1ERQ==,Dumbarton Exp. - Palo Alto,0.269864944038615
20,DB,0,all_day,19.1423397,04 - Oakland,recn8zTmGbYZv1qxV,Dumbarton Bridge Regional Operations Consortium,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1ERQ==,Dumbarton Exp. - Palo Alto,0.269864944038615
21,DB,1,offpeak,20.41822884,04 - Oakland,recn8zTmGbYZv1qxV,Dumbarton Bridge Regional Operations Consortium,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1ERQ==,Dumbarton Exp. - Palo Alto,0.271438188974399
22,DB,1,peak,17.51905736,04 - Oakland,recn8zTmGbYZv1qxV,Dumbarton Bridge Regional Operations Consortium,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1ERQ==,Dumbarton Exp. - Palo Alto,0.271438188974399
23,DB,1,all_day,18.98846194,04 - Oakland,recn8zTmGbYZv1qxV,Dumbarton Bridge Regional Operations Consortium,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1ERQ==,Dumbarton Exp. - Palo Alto,0.271438188974399
24,1692,0,offpeak,9.6058018,07 - Los Angeles,recd0hxcumVMausDU,City of Commerce,aHR0cHM6Ly9jaXR5Y29tbWJ1cy5jb20vZ3Rmcw==,Route(200),0.201295352362199
25,1692,0,peak,7.84676357,07 - Los Angeles,recd0hxcumVMausDU,City of Commerce,aHR0cHM6Ly9jaXR5Y29tbWJ1cy5jb20vZ3Rmcw==,Route(200),0.201295352362199
26,1692,0,all_day,8.6483628,07 - Los Angeles,recd0hxcumVMausDU,City of Commerce,aHR0cHM6Ly9jaXR5Y29tbWJ1cy5jb20vZ3Rmcw==,Route(200),0.201295352362199
27,14213,0,offpeak,15.08270819,03 - Marysville,reczUcQgqgtMpkpKC,Nevada County,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9nb2xkY291bnRyeXN0YWdlLWNhLXVzL2dvbGRjb3VudHJ5c3RhZ2UtY2EtdXMuemlw,Grass Valley Downtown - Brunswick Basin,0.132916989214061
28,14213,0,peak,9.14983982,03 - Marysville,reczUcQgqgtMpkpKC,Nevada County,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9nb2xkY291bnRyeXN0YWdlLWNhLXVzL2dvbGRjb3VudHJ5c3RhZ2UtY2EtdXMuemlw,Grass Valley Downtown - Brunswick Basin,0.132916989214061
29,14213,0,all_day,11.05063743,03 - Marysville,reczUcQgqgtMpkpKC,Nevada County,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9nb2xkY291bnRyeXN0YWdlLWNhLXVzL2dvbGRjb3VudHJ5c3RhZ2UtY2EtdXMuemlw,Grass Valley Downtown - Brunswick Basin,0.132916989214061
30,14213,1,offpeak,14.18485637,03 - Marysville,reczUcQgqgtMpkpKC,Nevada County,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9nb2xkY291bnRyeXN0YWdlLWNhLXVzL2dvbGRjb3VudHJ5c3RhZ2UtY2EtdXMuemlw,Grass Valley Downtown - Brunswick Basin,0.0905577231223564
31,14213,1,peak,14.32109327,03 - Marysville,reczUcQgqgtMpkpKC,Nevada County,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9nb2xkY291bnRyeXN0YWdlLWNhLXVzL2dvbGRjb3VudHJ5c3RhZ2UtY2EtdXMuemlw,Grass Valley Downtown - Brunswick Basin,0.0905577231223564
32,14213,1,all_day,14.26774284,03 - Marysville,reczUcQgqgtMpkpKC,Nevada County,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9nb2xkY291bnRyeXN0YWdlLWNhLXVzL2dvbGRjb3VudHJ5c3RhZ2UtY2EtdXMuemlw,Grass Valley Downtown - Brunswick Basin,0.0905577231223564
33,21,0,peak,29.26453349,06 - Fresno,rec5MLJKrAgeM8f6H,Kings County Area Public Transit Agency,aHR0cHM6Ly9rYXJ0LmNvbm5leGlvbnoubmV0L3J0dC9wdWJsaWMvdXRpbGl0eS9ndGZzLmFzcHg=,Lemoore NAS,0.73356358834474
34,21,0,all_day,29.26453349,06 - Fresno,rec5MLJKrAgeM8f6H,Kings County Area Public Transit Agency,aHR0cHM6Ly9rYXJ0LmNvbm5leGlvbnoubmV0L3J0dC9wdWJsaWMvdXRpbGl0eS9ndGZzLmFzcHg=,Lemoore NAS,0.73356358834474
35,564,1,offpeak,51.73044634,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Lone Pine Express,0.944614472017708
36,564,1,peak,57.46042332,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Lone Pine Express,0.944614472017708
37,564,1,all_day,54.44508967,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Lone Pine Express,0.944614472017708
38,564,0,offpeak,56.66773329,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Lone Pine Express,0.950142393240054
39,564,0,peak,62.71527795,09 - Bishop,recRajLNJI206nnAr,Eastern Sierra Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9lYXN0ZXJuc2llcnJhLWNhLXVzL2Vhc3Rlcm5zaWVycmEtY2EtdXMuemlw,Lone Pine Express,0.950142393240054
